GRT_LABELLED_TIME_SERIES_CLASSIFICATION_DATA_FILE_V1.0
DatasetName: piTrainingData
InfoText: This data contains the initial training samples collected, in the format x_orientation, y_orientation, z_orientation, x_accel, y_accel, z_accel.
NumDimensions: 5
TotalNumTrainingExamples: 60
NumberOfClasses: 3
ClassIDsAndCounters: 
1	20
2	20
3	20
UseExternalRanges: 0
LabelledTimeSeriesTrainingData:
************TIME_SERIES************
ClassID: 1
TimeSeriesLength: 43
TimeSeriesData: 
2.0625	-0.125	2.33	2.69	1.1
1.625	0.875	-0.59	0.69	-1.03
1	0.625	-0.39	0.36	-0.36
1.1875	0.1875	1.28	0.73	0.53
1.375	0.1875	1.43	-0.37	-0.37
1.5625	-0.25	1.78	0.46	-0.09
1.8125	-0.75	1.62	0.49	0.73
2	-0.6875	1.57	0.24	0.45
1.8125	-0.75	-0.43	-0.05	-0.09
1.75	-1.0625	-0.31	0.11	0.46
************TIME_SERIES************
ClassID: 1
TimeSeriesLength: 41
TimeSeriesData: 
3.25	0.3125	-0.07	0.06	0.28
3.3125	0.4375	-0.07	0	0.05
3.3125	0.5	1.34	0.07	0.13
3.25	0.5625	-0.09	-0.03	0.3
3.3125	0.625	-0.06	0	0.26
3.3125	0.6875	-0.01	0.03	0.12
3.3125	0.8125	1.31	0.08	0.16
3.25	0.8125	-0.02	0.06	0.09
3.1875	0.9375	-0.23	-0.4	-0.62
3.1875	1.0625	1.67	-2.17	-0.52
2.3125	1.3125	-0.28	-6.69	-0.3
2.0625	-0.3125	-2.74	-5.15	1.94
4.5	-4.0625	4.31	-1.4	6.99
5.0625	-7.4375	-1.07	2.14	9.59
5.25	-10.125	0.56	6.02	6.23
8.0625	-11.8125	2.04	9.82	2.13
10.125	-11.375	-0.99	8.21	-1.79
12.6875	-9.9375	-0.25	6.22	-5.01
14.3125	-14.875	-3.41	2.76	-7.65
15.6875	-4.6875	-1.19	0.65	-8.12
16.8125	-2.3125	-3.36	-1.66	-7.88
16.875	-0.625	-0.67	-2.99	-7.52
-2032.62	1.1875	-0.9	-4.14	-5.89
12.0625	2.25	-0.66	-4.45	-3.23
8.9375	2.125	-1.26	-4.97	0.18
5.5625	0.125	1.51	-3.41	3.52
2.375	0	-1.18	-1.89	4.82
0	0.4375	1.73	-2.06	6.06
-2.125	1.4375	-3.08	-2.05	3.36
-1.4375	0.5625	1.36	1.64	3.84
-1	0.4375	1.4	2.36	1.72
-0.125	0.5625	1.65	3.57	3.27
-0.8125	2.6875	-0.55	1.06	-0.47
0.1875	2.75	-0.03	1.28	0.04
0.8125	2.4375	1.46	0.52	-0.11
0.875	1.75	-0.01	-0.17	-0.5
1.0625	1	1.64	0.35	0.12
1.0625	0.625	2.14	-0.1	0.75
1	0.6875	1.33	0.1	0.64
1.125	0.75	-0.53	-0.29	-0.08
1.3125	0.6875	-0.32	0.18	0.8
************TIME_SERIES************
ClassID: 1
TimeSeriesLength: 40
TimeSeriesData: 
3.375	1	-0.04	0.08	0.31
3.375	1	-0.16	-0.06	0.17
3.4375	1	1.28	0.09	0.19
3.4375	1	-0.04	0.15	0.29
3.4375	1.0625	-0.03	0	0.22
3.4375	1.125	-0.08	0.12	0.22
3.5	1.1875	-0.13	-0.15	-0.24
3.375	1.1875	1.54	-1.54	-0.27
2.875	1.1875	-0.64	-6.89	-0.15
2.875	-0.5625	-1.27	-4.74	2.51
3.9375	-3	-0.96	-2.56	4.77
6.875	-6.9375	2.31	2.53	7.01
7.5625	-7.75	-0.24	2.76	6.03
7.625	-11	2.49	9.74	1.73
8.4375	-10.875	-0.32	8.86	-2.35
11.6875	-9.5	-0.8	6.78	-4.85
14.0625	-9.5	-1.16	5.21	-4.29
16.625	-8.5625	-2.74	0.51	-7.53
19.5625	-7.1875	-2.87	-2.72	-8.23
20.6875	-5.5625	-2.88	-5.1	-8.36
19.375	-3.6875	-1.13	-5.71	-5.04
16.6875	-2.625	-0.87	-6.14	-5.14
12.75	-2.6875	-0.62	-5.79	-0.23
7.875	-3.125	-0.64	-4.1	4.91
6.1875	-3.375	1.89	-2.72	5.79
3.6875	-2.4375	1.33	-2.22	4.91
2.9375	-2.1875	-0.5	1.52	6.13
2.0625	-0.8125	-0.43	2.8	2.46
3.0625	-1.0625	1.69	4.13	2.22
3.5	-0.1875	-0.17	1.52	-0.26
4.5	-0.75	1.73	1.87	0.56
3.875	-0.875	-0.52	0.51	0.09
3.25	-1.6875	-0.28	0.5	0.52
3.375	-1.875	1.77	0.17	0.21
3.5	-2.125	1.63	0.31	0.07
3.0625	-2.25	-0.16	-0.03	0.1
3.5	-2.4375	1.56	-0.11	0.68
3.3125	-2.375	-0.14	-0.33	0.3
3.1875	-2.5	-0.34	-0.08	0.33
3	-2.4375	1.43	0.09	-0.07
************TIME_SERIES************
ClassID: 1
TimeSeriesLength: 38
TimeSeriesData: 
2.75	-0.4375	-0.12	-0.2	0.31
2.75	-0.375	-0.05	-0.03	0.22
2.8125	-0.375	1.33	-0.13	0.14
2.8125	-0.4375	1.32	-0.04	0.23
2.8125	-0.4375	1.31	0	0.11
2.8125	-0.375	1.34	-0.02	0.12
2.75	-0.375	1.3	0.28	0.25
2.75	-0.1875	1.33	-0.2	-0.27
3.0625	-0.25	1.94	-3.98	-1.55
2.375	-0.9375	-0.32	-6.84	0.7
2.3125	-2.875	-0.63	-5.66	5.45
4.0625	-4.5625	2.17	-2.7	9.81
5.375	-7.6875	-0.24	6.1	9.54
7	-11.4375	1.31	10.78	5.84
9.25	-14.5	-0.35	8.9	-3.1
12	-15.5625	-0.31	6.32	-5.35
13.875	-15.375	-3.79	3.44	-7.85
17.3125	-13.3125	-0.78	0.56	-9.64
18.875	-11.25	-3.04	-0.72	-8.52
20.25	-8.375	-2.98	-3.07	-8.24
19.0625	-5.8125	-2.61	-5.24	-5.96
16	-4.125	-0.08	-6.34	-5.45
11.5625	-3.625	-0.29	-6.04	-0.73
7.125	-3.625	-0.67	-5.11	2.44
2.375	-4.6875	-0.77	-3.11	5.69
-1.0625	-4.9375	-0.21	-2.27	5.85
-1.875	-3.9375	-0.08	-0.32	3.99
-1.875	-3.375	-0.43	0.82	3.58
-2.0625	-2.375	-1.05	2.66	2.73
0	-1.5	2.29	2.97	1.38
0.625	-0.875	-0.32	1.77	0.48
0.5	0.6875	-0.11	1.18	0.07
0.9375	0.9375	2	1.02	0.56
0.9375	0.375	-0.52	0.22	-0.26
0.875	-0.3125	-0.37	0.05	0.62
0.875	-0.4375	2.26	-0.3	-0.79
0.125	-0.9375	-0.47	-0.3	0.3
0.125	-1.125	1.94	0.31	0.24
************TIME_SERIES************
ClassID: 1
TimeSeriesLength: 41
TimeSeriesData: 
1.8125	0.8125	1.29	0.11	0.08
1.8125	0.75	-0.04	0.05	0.27
1.8125	0.75	1.34	-0.06	0.19
1.875	0.75	1.28	0.04	0.37
1.875	0.8125	-0.08	0	0.15
1.8125	0.8125	-0.05	0	0.09
1.75	0.8125	-0.06	0.23	0.28
1.6875	0.8125	-0.06	0	0
